,Neighborhood,Venue Category,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude
0,Berlin,BBQ Joint,52.51605,13.37691,Das märchenhafte Ribhouse,52.621962708869766,13.489153297821268
1,Berlin,Bar,52.51605,13.37691,Etc:Bar,52.534070432050434,13.419661987048961
2,Berlin,Bar,52.51605,13.37691,Lerchen und Eulen,52.50212333819094,13.430743217468262
3,Berlin,Bar,52.51605,13.37691,Rabu,52.45480252444568,13.628036359398225
4,Berlin,Beer Bar,52.51605,13.37691,BRÄUGIER BrewPub,52.54215282039202,13.423850798790227
5,Berlin,Beer Bar,52.51605,13.37691,Muted Horn,52.48070840798713,13.426280544716859
6,Berlin,Beer Store,52.51605,13.37691,Lager Lager,52.4914524228706,13.428622740208365
7,Berlin,Big Box Store,52.51605,13.37691,real,52.555889,13.09527
8,Berlin,Big Box Store,52.51605,13.37691,Kaufland,52.63449323093821,13.495941199557777
9,Berlin,Big Box Store,52.51605,13.37691,Kaufland,52.63722933273112,13.20503565710692
10,Berlin,Brewery,52.51605,13.37691,Brewdog Brewery,52.438065919344524,13.368237018585205
11,Berlin,Brewery,52.51605,13.37691,Bürgerbräu Biergarten,52.44575687435495,13.624677658081055
12,Berlin,Burger Joint,52.51605,13.37691,Burgermeister,52.540663,13.412514
13,Berlin,Café,52.51605,13.37691,Coffee Circle Café,52.54381308480629,13.36785614490509
14,Berlin,Café,52.51605,13.37691,Café Komine,52.497845,13.341739
15,Berlin,Café,52.51605,13.37691,Rapha Berlin,52.52760524020057,13.408639413642092
16,Berlin,Café,52.51605,13.37691,44 Brekkie,52.53668254050305,13.420456945896149
17,Berlin,Café,52.51605,13.37691,"CAFÉ gestern, heute & morgen",52.546792,13.412589
18,Berlin,Café,52.51605,13.37691,Zazza,52.4918024151049,13.420756831047827
19,Berlin,Café,52.51605,13.37691,Sveda,52.547613,13.401106
20,Berlin,Café,52.51605,13.37691,Mano Cafe,52.49912861276276,13.430566300836764
21,Berlin,Café,52.51605,13.37691,Lehmbrucks Espressobar,52.47658904975906,13.32637153415595
22,Berlin,Café,52.51605,13.37691,Lotte am Platz,52.473191999250005,13.316996424945875
23,Berlin,Café,52.51605,13.37691,Mauna Kea,52.452572363725515,13.624983536446997
24,Berlin,Cocktail Bar,52.51605,13.37691,Stagger Lee,52.49771761410062,13.35154363135249
25,Berlin,Cocktail Bar,52.51605,13.37691,Lamm Bar,52.553337,13.415194
26,Berlin,Cocktail Bar,52.51605,13.37691,Sohnemann,52.514236,13.459542
27,Berlin,Cocktail Bar,52.51605,13.37691,Herr Lindemann,52.473923,13.444992
28,Berlin,Coffee Shop,52.51605,13.37691,Die Espressonisten,52.507648415439206,13.388159410183967
29,Berlin,Coffee Shop,52.51605,13.37691,Elemenza,52.503872,13.374201
30,Berlin,Coffee Shop,52.51605,13.37691,BEN RAHIM,52.52516811272114,13.40192843798598
31,Berlin,Coffee Shop,52.51605,13.37691,Spontan Coffee,52.52519762835903,13.330072160961876
32,Berlin,Coffee Shop,52.51605,13.37691,Chapter One,52.48976163897703,13.395976072085904
33,Berlin,Coffee Shop,52.51605,13.37691,Bonanza Roastery,52.504155208906184,13.4201276518078
34,Berlin,Coffee Shop,52.51605,13.37691,Kajumi,52.544094,13.421894
35,Berlin,Coffee Shop,52.51605,13.37691,Populus Coffee,52.493718,13.427157
36,Berlin,Coffee Shop,52.51605,13.37691,Concierge Coffee,52.49607704120797,13.422148954474327
37,Berlin,Coffee Shop,52.51605,13.37691,Blaue Bohnen Kaffeerösterei,52.51043615659477,13.462552693620097
38,Berlin,Coffee Shop,52.51605,13.37691,Happy Baristas,52.50518051611517,13.469368443384539
39,Berlin,Coffee Shop,52.51605,13.37691,leuchtstoff Kaffeebar,52.46811906612812,13.43252420425415
40,Berlin,Deli / Bodega,52.51605,13.37691,Vom Einfachen das Gute,52.53243194347814,13.396565263319
41,Berlin,Dessert Shop,52.51605,13.37691,Verzuckert Berlin,52.517848628388876,13.462878300139064
42,Berlin,Fast Food Restaurant,52.51605,13.37691,McDonald's,52.52877127529246,13.123908406123633
43,Berlin,Fast Food Restaurant,52.51605,13.37691,McDonald's,52.65253560890301,13.204545822118218
44,Berlin,Italian Restaurant,52.51605,13.37691,Briefmarken Weine - Grande Vini Piccola Cucina,52.517439910403716,13.44258899311813
45,Berlin,Italian Restaurant,52.51605,13.37691,Bel Paese,52.666707464362865,13.28232559803358
46,Berlin,Middle Eastern Restaurant,52.51605,13.37691,Ali Baba,52.510716796399265,13.457534689434333
47,Berlin,Park,52.51605,13.37691,Großer Tiergarten,52.51418380254327,13.35688591003418
48,Berlin,Park,52.51605,13.37691,Park am Gleisdreieck - Ostpark,52.49455995724577,13.376661366529206
49,Berlin,Park,52.51605,13.37691,Park am Gleisdreieck - Westpark,52.499029378737674,13.371455669403076
50,Berlin,Park,52.51605,13.37691,Viktoriapark,52.488477378543585,13.380188941955566
51,Berlin,Park,52.51605,13.37691,Weinbergspark,52.53250090252779,13.401453495025635
52,Berlin,Park,52.51605,13.37691,Volkspark Friedrichshain,52.52763188432334,13.435378074645996
53,Berlin,Park,52.51605,13.37691,Tempelhofer Feld,52.47412854161509,13.403406143188475
54,Berlin,Park,52.51605,13.37691,Tempelhofer Park,52.473624,13.403789
55,Berlin,Park,52.51605,13.37691,Volkspark Wilmersdorf,52.48327679259119,13.327703475952148
56,Berlin,Park,52.51605,13.37691,Schlossgarten Charlottenburg,52.52499,13.293499
57,Berlin,Park,52.51605,13.37691,Lietzenseepark,52.50519871279926,13.286676406860352
58,Berlin,Park,52.51605,13.37691,Körnerpark,52.47148940104489,13.437624343426899
59,Berlin,Park,52.51605,13.37691,Treptower Park,52.48868643446976,13.470375537872314
60,Berlin,Park,52.51605,13.37691,Britzer Garten,52.43333034393163,13.417160511016846
61,Berlin,Park,52.51605,13.37691,Müggelpark,52.444945986635524,13.626995086669922
62,Berlin,Pizza Place,52.51605,13.37691,Sotto,52.54283109279643,13.376388251781464
63,Berlin,Pizza Place,52.51605,13.37691,Pomodorino,52.52220765152743,13.449970217055668
64,Berlin,Pizza Place,52.51605,13.37691,Salami Social Club,52.51501293065886,13.46347680510007
65,Berlin,Pool,52.51605,13.37691,Sommerbad Olympiastadion,52.516357108680396,13.2390481239585
66,Berlin,Spa,52.51605,13.37691,vabali spa,52.52760251193211,13.360555171966553
67,Berlin,Thai Restaurant,52.51605,13.37691,Dan Thai Food,52.547587499002105,13.369250244095339
68,Berlin,Thai Restaurant,52.51605,13.37691,Thai-Art,52.486654,13.319444
69,Berlin,Thai Restaurant,52.51605,13.37691,li.ke,52.51148843532215,13.458749909324519
70,Berlin,Wine Bar,52.51605,13.37691,Freundschaft,52.51829373810599,13.39034378528595
71,Berlin,Wine Bar,52.51605,13.37691,Baden im Wein,52.537881,13.411955
72,Berlin,Wine Bar,52.51605,13.37691,Weinberg,52.53269995948009,13.424021601676941
73,Berlin,Wine Bar,52.51605,13.37691,Sorsi e Morsi,52.5346405502197,13.424978739344986
74,Berlin,Wine Bar,52.51605,13.37691,Facciola,52.49572843103693,13.433771348040839
75,Berlin,Wine Bar,52.51605,13.37691,Cento Passi,52.50956214456776,13.46504752608141
76,Madrid,BBQ Joint,40.41956,-3.69196,Charrua,40.422416,-3.693999
77,Madrid,BBQ Joint,40.41956,-3.69196,Don Antonio,40.370374502946405,-3.75331615892289
78,Madrid,Bar,40.41956,-3.69196,Punto de Encuentro,40.38750679000056,-3.761542233665668
79,Madrid,Bar,40.41956,-3.69196,Rocka Rolla,40.47082056592229,-3.870100616027174
