,Code,Rank,University,URL,Address,Lat,Lon
85,FR,122,École des Ponts ParisTech,https://www.timeshighereducation.com/world-university-rankings/ecole-des-ponts-paristech,"6-8 avenue Blaise-Pascal Cité Descartes, 77455 Champs-sur-Marne, Marne-la-Vallée, France",48.84058,2.58697
86,DE,122,Ruhr University Bochum,https://www.timeshighereducation.com/world-university-rankings/ruhr-university-bochum,"Universitätsstraße 150, 44801 Bochum, Germany",51.44589,7.26046
87,ES,122,University of Navarra,https://www.timeshighereducation.com/world-university-rankings/university-navarra,"Pamplona, Navarra, 31009, Spain",42.7992,-1.64776
88,DE,143,University of Greifswald,https://www.timeshighereducation.com/world-university-rankings/university-greifswald,"Domstraße 11, Greifswald, 17489, Germany",54.09501,13.37469
89,FR,143,Montpellier University,https://www.timeshighereducation.com/world-university-rankings/montpellier-university,"163 rue Auguste Broussonnet, 34090 Montpellier, France",43.61584,3.87204
90,DE,143,Technical University of Darmstadt,https://www.timeshighereducation.com/world-university-rankings/technical-university-darmstadt,"Karolinenplatz 5, Darmstadt, 64289, Germany",49.8746998,8.6554584
91,DE,143,University of Passau,https://www.timeshighereducation.com/world-university-rankings/university-passau,"Innstraße 41, D-94032 Passau, Germany",48.56653,13.44961
92,DE,143,University of Marburg,https://www.timeshighereducation.com/world-university-rankings/university-marburg,"Biegenstraße 10, D-35032 Marburg, Germany",50.81023,8.77399
93,ES,143,Autonomous University of Madrid,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-madrid,"Madrid, 28049, Spain",40.56456,-3.70194
94,AT,143,University of Klagenfurt,https://www.timeshighereducation.com/world-university-rankings/university-klagenfurt,"Universitätsstraße 65-67, 9020 Klagenfurt am Wörthersee, Austria",46.61671,14.26494
95,FI,143,University of Oulu,https://www.timeshighereducation.com/world-university-rankings/university-oulu,"Pentti Kaiteran katu 1, 90570 Oulu, Finland",65.05691,25.46811
96,DE,143,Johannes Gutenberg University of Mainz,https://www.timeshighereducation.com/world-university-rankings/johannes-gutenberg-university-mainz,"Saarstr. 21 D 55122, Mainz, Germany",49.99585,8.24637
97,IT,143,University of Trento,https://www.timeshighereducation.com/world-university-rankings/university-trento,"Via Calepina, 14, Trento, 38122, Italy",46.06685,11.12305
98,FI,143,Tampere University,https://www.timeshighereducation.com/world-university-rankings/tampere-university,"Kalevantie 4, Tampere, 33100, Finland",61.49432,23.78018
99,CY,143,Cyprus University of Technology,https://www.timeshighereducation.com/world-university-rankings/cyprus-university-technology,"30 Archbishop Kyprianos Str, 3036 Lemesos, Cyprus",34.67465,33.04547
100,SE,164,Örebro University,https://www.timeshighereducation.com/world-university-rankings/orebro-university,"Fakultetsgatan 1, Örebro SE 70182, Sweden",59.25471,15.24844
